temp,avg_report_count,primary_type
-9,4.0909090909090909,BATTERY
-9,1.00000000000000000000,PUBLIC PEACE VIOLATION
-9,1.00000000000000000000,WEAPONS VIOLATION
-9,2.3333333333333333,NARCOTICS
-9,3.8000000000000000,THEFT
-9,2.1666666666666667,BURGLARY
-9,1.7500000000000000,ROBBERY
-8,6.3333333333333333,THEFT
-8,2.0000000000000000,MOTOR VEHICLE THEFT
-8,1.6666666666666667,CRIMINAL TRESPASS
-8,4.0000000000000000,PROSTITUTION
-8,1.00000000000000000000,KIDNAPPING
-8,2.3636363636363636,OTHER OFFENSE
-8,1.00000000000000000000,LIQUOR LAW VIOLATION
-8,2.4444444444444444,BURGLARY
-8,1.00000000000000000000,WEAPONS VIOLATION
-8,1.00000000000000000000,CRIM SEXUAL ASSAULT
